prof,title,journal,year,authors,url
aishwarya.agrawal@mila.quebec,UI-Vision: A Desktop-centric GUI Benchmark for Visual Perception and Interaction,ICML 2025,2025,Shravan Nayak,https://doi.org/10.48550/arXiv.2503.15661
aishwarya.agrawal@mila.quebec,UI-Vision: A Desktop-centric GUI Benchmark for Visual Perception and Interaction,ICML 2025,2025,Xiangru Jian,https://doi.org/10.48550/arXiv.2503.15661
aishwarya.agrawal@mila.quebec,UI-Vision: A Desktop-centric GUI Benchmark for Visual Perception and Interaction,ICML 2025,2025,Kevin Qinghong Lin,https://doi.org/10.48550/arXiv.2503.15661
aishwarya.agrawal@mila.quebec,UI-Vision: A Desktop-centric GUI Benchmark for Visual Perception and Interaction,ICML 2025,2025,Juan A. Rodriguez,https://doi.org/10.48550/arXiv.2503.15661
aishwarya.agrawal@mila.quebec,UI-Vision: A Desktop-centric GUI Benchmark for Visual Perception and Interaction,ICML 2025,2025,Montek Kalsi,https://doi.org/10.48550/arXiv.2503.15661
aishwarya.agrawal@mila.quebec,UI-Vision: A Desktop-centric GUI Benchmark for Visual Perception and Interaction,ICML 2025,2025,Rabiul Awal,https://doi.org/10.48550/arXiv.2503.15661
aishwarya.agrawal@mila.quebec,UI-Vision: A Desktop-centric GUI Benchmark for Visual Perception and Interaction,ICML 2025,2025,Nicolas Chapados,https://doi.org/10.48550/arXiv.2503.15661
aishwarya.agrawal@mila.quebec,UI-Vision: A Desktop-centric GUI Benchmark for Visual Perception and Interaction,ICML 2025,2025,M. Tamer Özsu,https://doi.org/10.48550/arXiv.2503.15661
aishwarya.agrawal@mila.quebec,UI-Vision: A Desktop-centric GUI Benchmark for Visual Perception and Interaction,ICML 2025,2025,Aishwarya Pravin Agrawal,https://doi.org/10.48550/arXiv.2503.15661
aishwarya.agrawal@mila.quebec,UI-Vision: A Desktop-centric GUI Benchmark for Visual Perception and Interaction,ICML 2025,2025,David Vazquez,https://doi.org/10.48550/arXiv.2503.15661
